"CP"|"CODE"
"01140"|"01351"
"01190"|"01352"
"01600"|"01353"
"01630"|"01354"
"01380"|"01355"
"01400"|"01356"
"01130"|"01357"
"01300"|"01358"
"01240"|"01359"
"01630"|"01360"
"01800"|"01361"
"01390"|"01362"
"01640"|"01363"
"01560"|"01364"
"01290"|"01365"
"01150"|"01366"
"01560"|"01367"
"01540"|"01368"
"01250"|"01369"
"01750"|"01370"
"01390"|"01371"
"01510"|"01372"
"01430"|"01373"
"01160"|"01374"
"01310"|"01375"
"01700"|"01376"
"01800"|"01378"
"01500"|"01379"
"01560"|"01380"
"01320"|"01381"
"01330"|"01382"
"01240"|"01383"
"01230"|"01384"
"01310"|"01385"
"01150"|"01386"
"01340"|"01387"
"01560"|"01388"
"01990"|"01389"
"01150"|"01390"
"01270"|"01391"
"01580"|"01392"
"01400"|"01393"
"01150"|"01396"
"01220"|"01397"
"01480"|"01398"
"01170"|"01399"
"01470"|"01400"
"01630"|"01401"
"01190"|"01402"
"01470"|"01403"
"01450"|"01404"
"01960"|"01405"
"01560"|"01406"
"01420"|"01407"
"01250"|"01408"
"01260"|"01409"
"01580"|"01410"
"01150"|"01411"
"01400"|"01412"
"01420"|"01413"
"01260"|"01414"
"01510"|"01415"
"01230"|"01416"
"01110"|"01417"
"01120"|"01418"
"01710"|"01419"
"01140"|"01420"
"01230"|"01421"
"01250"|"01422"
"01600"|"01423"
"01390"|"01424"
"01160"|"01425"
"01370"|"01426"
"01600"|"01427"
"01140"|"01428"
"01660"|"01429"
"01160"|"01430"
"01150"|"01431"
"01270"|"01432"
"01560"|"01433"
"01330"|"01434"
"01210"|"01435"
"01170"|"01436"
"01560"|"01437"
"01570"|"01439"
"01430"|"01441"
"01260"|"01442"
"01330"|"01443"
"01150"|"01444"
"01270"|"01445"
"01480"|"01446"
"01250"|"01447"
"01200"|"01448"
"01320"|"01449"
"01800"|"01450"
"01440"|"01451"
"01510"|"01452"
"01260"|"01453"
"01300"|"01454"
"01350"|"01456"
"01540"|"01457"
"02300"|"02001"
"02800"|"02002"
"02200"|"02003"
"02340"|"02004"
"02190"|"02005"
"02110"|"02006"
"02820"|"02007"
"02370"|"02008"
"02240"|"02009"
"02320"|"02010"
"02290"|"02011"
"02200"|"02012"
"02190"|"02013"
"02700"|"02014"
"02600"|"02015"
"02800"|"02016"
"02800"|"02017"
"02320"|"02018"
"02480"|"02019"
"02500"|"02020"
"02360"|"02021"
"02130"|"02022"
"02210"|"02023"
"02860"|"02024"
"02480"|"02025"
"02330"|"02026"
"02270"|"02027"
